Method,N_Factors,Reg_Param,RMSE,MAE,MAP@5,Mean_Bias,Time(s),Compression_Ratio,Memory_MB
SVD,30,0.01,0.9247295377795912,0.6834967724635415,0.26990494854156666,0.1000696168469168,1.0579400062561035,0.3204926499801351,1.9843215942382812
SVT,30,0.01,0.9249908713298537,0.6840057945065322,0.26059003892710497,0.10003541176331969,11.248266458511353,0.3082460833014903,2.0606155395507812
NMF,30,0.01,0.9977705446078341,0.7489563007008019,0.28285367674505413,0.1762834500560868,11.736303567886353,0.30758671704904655,2.0648956298828125
ALS,30,0.01,0.9482399203530917,0.7094646954656072,0.212833946568549,0.10274611013657499,23.893303632736206,0.2588250393043925,2.4487228393554688
SVD,30,0.05,0.9248013548414034,0.683565419115422,0.27109542473204284,0.10016496797997938,1.0501148700714111,0.3204926499801351,1.9843215942382812
SVT,30,0.05,0.9254384765920997,0.6842185656539105,0.25345984642457203,0.0993257484589649,10.793310403823853,0.3082460833014903,2.0606155395507812
NMF,30,0.05,0.9992544358498205,0.7505017322196598,0.27928224817362557,0.180547407672363,10.365904331207275,0.30744252698335267,2.0658340454101562
ALS,30,0.05,0.939997547032588,0.6897228477613945,0.2599122807017544,0.16170523137656362,23.871329069137573,0.2588250393043925,2.4487228393554688
SVD,30,0.1,0.9248618862659452,0.683618592913701,0.2704621927158321,0.1002824945496771,1.0546693801879883,0.3204926499801351,1.9843215942382812
SVT,30,0.1,0.9256459611892258,0.6837037378830828,0.25751186476830373,0.09959179155675742,10.588948488235474,0.3082460833014903,2.0606155395507812
NMF,30,0.1,0.9955489156984799,0.7526151445988749,0.28538407188183224,0.20281377605244258,8.58833646774292,0.3071896420411272,2.0674819946289062
ALS,30,0.1,0.9395013251373335,0.6893437665929004,0.26203438560941356,0.1715119086221844,25.2782940864563,0.2588250393043925,2.4487228393554688
SVD,50,0.01,0.9249999566998118,0.6836695216920069,0.273119767503866,0.10122910678018135,1.097625970840454,0.19229558998808105,3.2645339965820312
SVT,50,0.01,0.9250261152522969,0.6837135794058103,0.26995560710286354,0.10061315957230874,15.231919288635254,0.18781839348079163,3.3408279418945312
NMF,50,0.01,0.977245123070418,0.7361844753614444,0.2628760731616275,0.10454067863317051,11.768367290496826,0.18639838067157766,3.3657913208007812
ALS,50,0.01,0.9493603161891067,0.7188798819563321,0.26137298032314826,0.029769556409512454,30.482864141464233,0.15529502358263547,4.046165466308594
SVD,50,0.05,0.9250550282732614,0.6836931577607093,0.2742595851330453,0.10132087372285349,1.0732033252716064,0.19229558998808105,3.2645339965820312
SVT,50,0.05,0.9245795098026608,0.683192122574892,0.2659697115128246,0.10028518571662094,15.41026258468628,0.18781839348079163,3.3408279418945312
NMF,50,0.05,0.9792685767349422,0.737503380116739,0.2557332160187703,0.11641904891528271,9.450040340423584,0.1863867522799267,3.365997314453125
ALS,50,0.05,0.9408043955226896,0.7146337287995135,0.260833022271992,0.03911837875133197,30.406470775604248,0.15529502358263547,4.046165466308594
SVD,50,0.1,0.9251039838926035,0.6837138822414758,0.27533101370447394,0.10142839929627967,1.1507103443145752,0.19229558998808105,3.2645339965820312
SVT,50,0.1,0.9255455605634614,0.6842225249641057,0.2586523489575001,0.10029025981359704,16.302722930908203,0.18781839348079163,3.3408279418945312
NMF,50,0.1,0.9849123948309854,0.7378748873575639,0.2884763771129953,0.14093347256966826,8.432562828063965,0.18635144531638026,3.3666229248046875
ALS,50,0.1,0.9486978663065286,0.6896837217764407,0.23381552284967735,0.15370914385936177,30.062135219573975,0.15529502358263547,4.046165466308594
SVD,75,0.01,0.9250949616817211,0.6837309296283021,0.27518160114754703,0.10169641121385774,1.1067290306091309,0.12819705999205402,4.864799499511719
SVT,75,0.01,0.9250719995037807,0.6837087690805504,0.2742317865171408,0.10127368305900142,12.534865617752075,0.1261916308173641,4.941093444824219
NMF,75,0.01,0.9742450299306571,0.7321027099153292,0.2766990810251039,0.07829008662454409,13.748775959014893,0.12515825534344513,4.981361389160156
ALS,75,0.01,0.9748798051668045,0.7063404138213307,0.23558958173795236,0.21349038965266962,39.619592905044556,0.10353001572175699,6.051551818847656
SVD,75,0.05,0.9251028078240641,0.6837073874912327,0.2761951146610605,0.10173080429223658,1.0852665901184082,0.12819705999205402,4.864799499511719
SVT,75,0.05,0.924795900086419,0.6840254910708379,0.266461244133029,0.101127634558199,22.34877038002014,0.1261916308173641,4.941093444824219
NMF,75,0.05,0.9822213350555609,0.7393489480527177,0.25529437244514336,0.1026856308457371,10.296679496765137,0.1251660232618761,4.981056213378906
ALS,75,0.05,0.9452874173120303,0.6824534708712097,0.24693893214596446,0.17258174396050402,38.74996900558472,0.10353001572175699,6.051551818847656
SVD,75,0.1,0.9251086879343713,0.683683142798984,0.2761951146610605,0.10177790637710395,1.0681970119476318,0.12819705999205402,4.864799499511719
SVT,75,0.1,0.926723375039056,0.6842720733462647,0.268596716767822,0.1012194557314627,20.752429962158203,0.1261916308173641,4.941093444824219
NMF,75,0.1,0.9919874493861225,0.7457826289031109,0.2758290973147979,0.13013308787116976,7.789548635482788,0.12516971336092195,4.9809112548828125
ALS,75,0.1,0.9342796308257014,0.6794990899553693,0.2465508700629182,0.1594424216090828,38.14382219314575,0.10353001572175699,6.051551818847656
